gp-common-timestamp,before,dirty_reboot_time
2024-03-21T04:54:19Z,"[2024-03-14T06:54:01+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][252][00] SXID 24007 Severity 1 Engine instance 54 Sub-engine instance 000x'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:54:03+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][253][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:54:05+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][254][00] SXID 24007 Fatal; Link 55 sourcetrack timeout error (First)'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:54:07+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][255][00] SXID 24007 Severity 1 Engine instance 55 Sub-engine instance 000x'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:54:09+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][256][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:43:54+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:44 UTC 2024][163][02] XID 74 NVLink: fatal error detected on link 0(0x10010000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:43:56+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:44 UTC 2024][164][02] XID 74 NVLink: fatal error detected on link 1(0x10000000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:43:57+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:44 UTC 2024][165][02] XID 74 NVLink: fatal error detected on link 4(0x10000000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:43:59+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:44 UTC 2024][166][02] XID 74 NVLink: fatal error detected on link 5(0x10000000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:44:01+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:44 UTC 2024][167][02] XID 74 NVLink: fatal error detected on link 10(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
